Wall time,Step,Value
1751226441.6300492,10000,940.8125
1751226468.5781486,20000,2315.9375
1751226491.9377868,30000,2315.875
1751226514.4055154,40000,2320.625
1751226537.3068247,50000,2318.875
1751226560.7259843,60000,2319.8125
1751226584.6430004,70000,2318.125
1751226607.1900926,80000,2319.25
1751226631.7114785,90000,2324.375
1751226656.241785,100000,2324.1875
1751226678.5755405,110000,2328.375
1751226701.2946656,120000,2331.375
1751226725.0352676,130000,2333.5
1751226749.0192938,140000,2350.75
1751226773.7476385,150000,2343.375
1751226797.5713468,160000,2349.125
1751226822.460802,170000,2358.75
1751226845.2949631,180000,2354.625
1751226869.9829361,190000,2360.375
1751226893.1409569,200000,2366.625
1751226915.8332863,210000,2352.625
1751226938.5199466,220000,2353.5625
1751226964.061035,230000,2346.125
1751226988.5529404,240000,2361.875
1751227011.607634,250000,2346.0
1751227034.9004755,260000,2346.9375
1751227056.9239936,270000,2340.75
1751227081.0550108,280000,2342.125
1751227105.5666432,290000,2341.875
1751227129.1347892,300000,2344.1875
1751227153.1145544,310000,2331.0
1751227176.7954998,320000,2328.25
1751227202.9838643,330000,2332.5
1751227227.5686698,340000,2346.625
1751227253.2329931,350000,2343.75
1751227276.6138122,360000,2340.875
1751227304.0334125,370000,2331.5
1751227332.1638246,380000,2334.875
1751227354.4701025,390000,2333.625
1751227376.2528396,400000,2369.0
1751227399.3145938,410000,2339.375
1751227419.8769116,420000,2374.8125
1751227440.5611312,430000,2385.25
1751227464.2543375,440000,2621.5
1751227489.155728,450000,2853.375
1751227517.9300432,460000,2356.46142578125
1751227544.3591683,470000,2901.0908203125
1751227567.45662,480000,3016.25
1751227593.6502328,490000,2881.0
1751227622.2947438,500000,2671.0
1751227651.407101,510000,3427.857177734375
1751227674.7047243,520000,2758.833251953125
1751227698.8257425,530000,3117.375
1751227723.9787173,540000,2209.636474609375
1751227749.4521139,550000,2823.5
1751227773.6027937,560000,2060.25
1751227799.6578188,570000,2210.0
1751227827.7530117,580000,2017.4444580078125
1751227854.3324087,590000,2446.25
1751227879.0805614,600000,2283.0
1751227903.3198633,610000,2198.0
1751227929.1395862,620000,1619.0
1751227951.226357,630000,2243.39990234375
1751227974.0865786,640000,2253.333251953125
1751228003.9306061,650000,2543.333251953125
1751228028.2615833,660000,1629.3333740234375
1751228052.603937,670000,2511.333251953125
1751228077.3591092,680000,2173.75
1751228102.7845235,690000,1969.5
1751228126.6884956,700000,1968.142822265625
1751228150.3767533,710000,2121.75
1751228174.518723,720000,2693.666748046875
1751228197.7220283,730000,2134.333251953125
1751228224.0478559,740000,2038.5714111328125
1751228251.424823,750000,1584.3333740234375
1751228276.335632,760000,2523.0
1751228302.532026,770000,2253.60009765625
1751228329.050297,780000,2007.3333740234375
1751228354.9868362,790000,1724.5
1751228379.059361,800000,2071.75
1751228404.7515574,810000,1991.199951171875
1751228430.2789705,820000,1738.3333740234375
1751228459.1282716,830000,2453.0
1751228483.5748894,840000,4287.0
1751228506.21392,850000,1548.0
1751228533.1083932,860000,2300.28564453125
1751228560.4146104,870000,1772.6666259765625
1751228587.5392354,880000,1577.0
1751228614.6362126,890000,3569.75
1751228640.7258306,900000,2409.625
1751228668.7247539,910000,2292.0
1751228694.9186952,920000,1787.0
1751228722.0390575,930000,2438.666748046875
1751228749.6716866,940000,2062.333251953125
1751228779.6975324,950000,2482.75
1751228807.7926195,960000,2232.0
1751228833.6588311,970000,1594.0
1751228861.5936549,980000,1574.0
1751228888.7095191,990000,2037.75
1751228915.9773002,1000000,2768.0
1751228944.5352004,1010000,2157.0
1751228973.4526324,1020000,1578.8333740234375
1751228999.7312746,1030000,1548.6666259765625
1751229025.1657257,1040000,1874.199951171875
1751229050.4376965,1050000,2032.4285888671875
1751229075.5187747,1060000,1992.0
1751229102.7898455,1070000,2550.571533203125
1751229130.532696,1080000,2318.333251953125
1751229159.461048,1090000,1475.0
1751229189.2282603,1100000,2116.833251953125
1751229216.2441902,1110000,1103.0
1751229247.0129163,1120000,2801.28564453125
1751229276.1811817,1130000,1799.4444580078125
1751229301.84888,1140000,1266.5999755859375
1751229327.7340949,1150000,2197.666748046875
1751229352.9299567,1160000,1927.0
1751229379.886199,1170000,1109.8333740234375
1751229409.9389925,1180000,1679.25
1751229442.1109838,1190000,1763.0
1751229469.7716608,1200000,2374.39990234375
1751229498.397588,1210000,1560.0
1751229526.671313,1220000,1740.800048828125
1751229555.1677856,1230000,2090.39990234375
1751229583.1639867,1240000,2532.0
1751229610.672802,1250000,1602.0
1751229632.7949343,1260000,1837.0
1751229657.1857414,1270000,2053.333251953125
1751229688.7720478,1280000,1417.3333740234375
1751229714.8067772,1290000,1388.625
1751229740.7561188,1300000,1294.75
1751229769.7834337,1310000,1910.5
1751229798.6477094,1320000,1924.800048828125
1751229832.1612275,1330000,1983.0909423828125
1751229858.8937664,1340000,1895.800048828125
1751229886.9076285,1350000,2461.75
1751229912.7169976,1360000,1077.3333740234375
1751229937.8487182,1370000,1827.6666259765625
1751229962.7676554,1380000,1484.800048828125
1751229988.5291717,1390000,1612.0
1751230015.3257346,1400000,1119.5
1751230041.856639,1410000,1131.0
1751230066.2194576,1420000,1746.3333740234375
1751230092.502837,1430000,2066.60009765625
1751230118.721045,1440000,1927.0
