Wall time,Step,Value
1751226441.3349664,10000,943.5
1751226468.3749034,20000,2319.8125
1751226491.8780577,30000,2308.5
1751226514.3523953,40000,2309.625
1751226537.2428916,50000,2310.875
1751226560.6684828,60000,2316.5625
1751226584.586681,70000,2311.25
1751226607.1396718,80000,2323.625
1751226631.5425568,90000,2322.625
1751226656.1803975,100000,2321.9375
1751226678.5229895,110000,2309.0
1751226701.24561,120000,2314.625
1751226724.9647474,130000,2316.0
1751226748.9612448,140000,2320.6875
1751226773.6885865,150000,2321.625
1751226797.5267444,160000,2316.5
1751226822.3987339,170000,2324.375
1751226845.2305307,180000,2318.375
1751226869.9257853,190000,2320.875
1751226893.0889778,200000,2318.0
1751226913.2660375,210000,2331.125
1751226938.435877,220000,2338.875
1751226963.9510362,230000,2339.125
1751226988.5052493,240000,2340.125
1751227011.5397499,250000,2346.75
1751227034.8288643,260000,2338.4375
1751227056.7078972,270000,2356.375
1751227081.015526,280000,2361.875
1751227105.5065062,290000,2369.0
1751227129.0788152,300000,2359.375
1751227153.0626206,310000,2359.125
1751227176.7449613,320000,2370.5
1751227202.9248106,330000,2367.375
1751227227.502808,340000,2371.0
1751227253.1746047,350000,2374.375
1751227276.5644608,360000,2385.375
1751227303.98142,370000,2379.875
1751227332.1027727,380000,2371.6875
1751227354.4141908,390000,2371.75
1751227376.2050333,400000,2361.25
1751227399.2536774,410000,2357.75
1751227417.448409,420000,2368.8125
1751227440.4910376,430000,2378.5
1751227464.2132168,440000,2393.75
1751227489.0832236,450000,2380.625
1751227517.8706765,460000,2386.1875
1751227544.3128054,470000,2401.5
1751227567.4038522,480000,2400.25
1751227593.547557,490000,2399.875
1751227622.074374,500000,2417.125
1751227651.361474,510000,2410.875
1751227674.6673548,520000,1958.0
1751227698.7636583,530000,1683.75
1751227723.912056,540000,1686.75
1751227749.3979888,550000,1679.375
1751227773.564847,560000,1680.625
1751227799.594643,570000,1683.25
1751227827.693633,580000,1680.75
1751227854.2319038,590000,1684.5
1751227879.0318062,600000,1689.875
1751227903.2624123,610000,1689.0
1751227929.063205,620000,1689.4375
1751227948.842188,630000,1685.375
1751227974.034797,640000,1687.5
1751228003.8747504,650000,1683.25
1751228028.2030807,660000,1686.625
1751228052.533998,670000,1682.125
1751228077.3057797,680000,1686.875
1751228102.7247114,690000,1688.0
1751228126.6346302,700000,1686.75
1751228150.3269851,710000,1691.375
1751228174.4706328,720000,1689.5
1751228197.6648402,730000,1683.5
1751228223.9958696,740000,1686.3125
1751228251.3729916,750000,1688.375
1751228276.299173,760000,1697.125
1751228302.4720223,770000,1696.125
1751228328.9608965,780000,1695.625
1751228354.9241207,790000,1691.5
1751228379.0196383,800000,1691.25
1751228404.7007961,810000,1696.0
1751228430.2260654,820000,1694.1875
1751228459.0715017,830000,1692.375
1751228481.0032775,840000,1686.25
1751228506.1557567,850000,1696.875
1751228533.0589495,860000,1693.6875
1751228560.3531914,870000,1692.125
1751228587.5023012,880000,1687.625
1751228614.5637038,890000,1691.25
1751228640.664897,900000,1696.9375
1751228668.6658783,910000,1704.125
1751228694.869995,920000,1711.625
1751228721.854084,930000,1699.125
1751228749.6033635,940000,1701.25
1751228779.6308393,950000,1707.5
1751228807.7470934,960000,1700.75
1751228833.4877446,970000,1698.125
1751228861.526088,980000,1697.4375
1751228888.6612387,990000,1687.75
1751228915.8632593,1000000,1692.75
1751228944.486635,1010000,1702.0
1751228973.3919547,1020000,1542.4375
1751228999.6757631,1030000,1207.375
1751229025.1181297,1040000,1206.0
1751229047.1382303,1050000,1204.3125
1751229075.4565384,1060000,1209.25
1751229102.7298949,1070000,1205.875
1751229130.4927213,1080000,1209.375
1751229159.392475,1090000,1198.25
1751229189.1814902,1100000,1205.125
1751229216.1735382,1110000,1208.75
1751229246.9417357,1120000,1204.875
1751229276.1079252,1130000,1206.0625
1751229301.782012,1140000,1208.5
1751229327.6809907,1150000,1204.0
1751229352.8909726,1160000,1205.25
1751229379.8052316,1170000,1202.625
1751229409.881675,1180000,1200.375
1751229442.036845,1190000,1202.375
1751229469.722858,1200000,1210.375
1751229498.319592,1210000,1205.875
1751229526.612622,1220000,1204.5
1751229555.11658,1230000,1203.125
1751229583.1144488,1240000,1204.25
1751229610.6098087,1250000,1207.5625
1751229630.3901186,1260000,1210.125
1751229657.1282802,1270000,1209.0
1751229688.7237644,1280000,1207.0
1751229714.74616,1290000,1207.25
1751229740.6915302,1300000,1206.0
1751229769.6967347,1310000,1200.25
1751229798.5947785,1320000,1205.375
1751229832.087006,1330000,1203.1875
1751229858.834337,1340000,1200.25
1751229886.8407402,1350000,1205.125
1751229912.5631158,1360000,1204.0
1751229937.798789,1370000,1206.5
1751229962.7078211,1380000,1204.625
1751229988.4709146,1390000,1206.5
1751230015.287631,1400000,1206.75
1751230041.793039,1410000,1204.0
1751230066.1680577,1420000,1212.375
1751230092.4528308,1430000,1208.625
1751230118.670916,1440000,1202.375
